Processos,Bloco    ,Tempo
2        ,100x100  ,"614,87"
3        ,100x100  ,"2811,35"
4        ,100x100  ,"2815,49"
2        ,200x200  ,"584,64"
3        ,200x200  ,"903,32"
4        ,200x200  ,"989,93"
2        ,300x300  ,"558,29"
3        ,300x300  ,"601,14"
4        ,300x300  ,"612,37"
2        ,400x400  ,551
3        ,400x400  ,"511,61"
4        ,400x400  ,"506,92"
2        ,500x500  ,"529,71"
3        ,500x500  ,"467,5"
4        ,500x500  ,"452,31"
2        ,600x600  ,"539,67"
3        ,600x600  ,"448,17"
4        ,600x600  ,"427,4"
2        ,700x700  ,"550,32"
3        ,700x700  ,"434,96"
4        ,700x700  ,"409,04"
2        ,800x800  ,"553,52"
3        ,800x800  ,"430,03"
4        ,800x800  ,"459,37"
2        ,900x900  ,"565,12"
3        ,900x900  ,"422,75"
4        ,900x900  ,"389,63"
2        ,1000x1000,"560,93"
3        ,1000x1000,"404,49"
4        ,1000x1000,"374,58"
2        ,1100x1100,"580,85"
3        ,1100x1100,"418,77"
4        ,1100x1100,"394,1"
2        ,1200x1200,"582,98"
3        ,1200x1200,"453,46"
4        ,1200x1200,"411,91"
2        ,1300x1300,"576,51"
3        ,1300x1300,"457,41"
4        ,1300x1300,"450,53"
2        ,1400x1400,606
3        ,1400x1400,"500,16"
4        ,1400x1400,"441,07"
2        ,1500x1500,"601,59"
3        ,1500x1500,"463,72"
4        ,1500x1500,"450,01"
2        ,1600x1600,"599,79"
3        ,1600x1600,"435,9"
4        ,1600x1600,"413,78"
2        ,1700x1700,"619,49"
3        ,1700x1700,"454,88"
4        ,1700x1700,"424,42"
2        ,1800x1800,"638,31"
3        ,1800x1800,"470,28"
4        ,1800x1800,"450,62"
2        ,1900x1900,"600,91"
3        ,1900x1900,"507,91"
4        ,1900x1900,"422,19"
2        ,2000x2000,"599,24"
3        ,2000x2000,"494,94"
4        ,2000x2000,"406,2"
